ResponseId,Progress,Duration (in seconds),Finished,UserLanguage,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3,Q4.4,Q5.1,Q5.2,Q5.3,Q5.4,Q6.1,Q6.2,Q6.3,Q6.4,Q7.1,Q7.2,Q7.3,Q7.4,Q8.1,Q8.2,Q8.3,Q8.4,Q10.1,Q10.2,Q10.3,Q10.4,Q11.1,Q11.2,Q11.3,Q11.4,Q12.1,Q12.2,Q12.3,Q12.4,Q13.1,Q13.2,Q13.3,Q13.4,Q14.1,Q14.2,Q14.3,Q14.4,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,SC0
Response ID,Progress,Duration (in seconds),Finished,User Language,Which 3 of the following nonsense words do you think most relate to the sense of hearing?,Which 3 of the following nonsense words do you think most relate to the sense of hearing?,Which 3 of the following nonsense words do you think most relate to the sense of hearing?,Which 3 of the following nonsense words do you think most relate to the sense of hearing?,Which 3 of the following nonsense words do you think most relate to the sense of taste?,Which 3 of the following nonsense words do you think most relate to the sense of taste?,Which 3 of the following nonsense words do you think most relate to the sense of taste?,Which 3 of the following nonsense words do you think most relate to the sense of taste?,Which 3 of the following nonsense words do you think most relate to the sense of touch?,Which 3 of the following nonsense words do you think most relate to the sense of touch?,Which 3 of the following nonsense words do you think most relate to the sense of touch?,Which 3 of the following nonsense words do you think most relate to the sense of touch?,Which 3 of the following nonsense words do you think most relate to sensations inside your body?,Which 3 of the following nonsense words do you think most relate to sensations inside your body?,Which 3 of the following nonsense words do you think most relate to sensations inside your body?,Which 3 of the following nonsense words do you think most relate to sensations inside your body?,Which 3 of the following nonsense words do you think most relate to the sense of smell?,Which 3 of the following nonsense words do you think most relate to the sense of smell?,Which 3 of the following nonsense words do you think most relate to the sense of smell?,Which 3 of the following nonsense words do you think most relate to the sense of smell?,Which 3 of the following nonsense words do you think most relate to the sense of sight?,Which 3 of the following nonsense words do you think most relate to the sense of sight?,Which 3 of the following nonsense words do you think most relate to the sense of sight?,Which 3 of the following nonsense words do you think most relate to the sense of sight?,Which 3 of the following words most relate to the Foot or Leg?,Which 3 of the following words most relate to the Foot or Leg?,Which 3 of the following words most relate to the Foot or Leg?,Which 3 of the following words most relate to the Foot or Leg?,Which 3 of the following words most relate to the Hand or Arm?,Which 3 of the following words most relate to the Hand or Arm?,Which 3 of the following words most relate to the Hand or Arm?,Which 3 of the following words most relate to the Hand or Arm?,Which 3 of the following words most relate to the Head?,Which 3 of the following words most relate to the Head?,Which 3 of the following words most relate to the Head?,Which 3 of the following words most relate to the Head?,Which 3 of the following words most relate to the Mouth?,Which 3 of the following words most relate to the Mouth?,Which 3 of the following words most relate to the Mouth?,Which 3 of the following words most relate to the Mouth?,Which 3 of the following words most relate to the Torso sense?,Which 3 of the following words most relate to the Torso sense?,Which 3 of the following words most relate to the Torso sense?,Which 3 of the following words most relate to the Torso sense?,Are you 18 years or older?,What is/are your native language(s)?,What's your proficiency level in English?,"Do you have normal or corrected-to-normal vision (e.g., with glasses or contact lenses)?","Do you have any cognitive, learning, or language disabilities that might impact your ability to complete tasks involving words and images?",What is your gender?,Score
R_3sHjEGmQBK1JHIl,100,163,TRUE,EN,"crilollering,squeping,corsenations",,,"squeanings,thuckeding,nusprils","susteries,fleceils,brolorous",,"marreccone,aspintades,scalilla",,,"dabbedness,aspintades,whebbling",,"flicetock,nusprils,fifuffies",,"igmanilating,urpharities,scayons",,"incarpritation,operrhaging,corsenations","tygranate,myrticates,susteries","ascodiments,margrel,citocoli",,,"brolorous,menaprigication,thellering","pylisation,canmiobraine,erteycole",,,"forbicing,acribating,phongishments",,"prebicing,dispights,bambeagna",,"sweadles,quiprigraphy,dispights",,,"prynching,repufling,femiture","obsightness,bambeagna,repufling",,"bicrinations,grumbered,urreocatry",,"fifuffies,shoquets,raruting",,"chaspection,fereniration,enrogiciously",,,"fepupirition,saglidity,trambings","raruting,snially,enrogiciously",,Yes,English,Native,Yes,No,Female,32
R_5JkK85SvXFBa2KS,100,1486,TRUE,EN,"shomples,corsenations,scalilla",,,"squeanings,igmanilating,nusprils","susteries,ancechuttos,fleceils","ascodiments,myrticates,alphociration",,,"seasslins,crilollering,thuckeding","dabbedness,aspintades,whebbling",,,,,"menaprigication,ipanelle,thrurring","operrhaging,squayophrenism,corsenations",,,"lusidour,selorine,seasslins","brolorous,erteycole,nusprils","rehotes,brolorous,thellering",,,"corsenations,figelled,caeduseousness","forbicing,acribating,crettoes",,,"refomped,spaightness,erpechitades","trilching,dispights,menniated",,"cacqueting,shoquets,concinging",,,"frumbered,erpechitades,covigating",,"diruditions,raruting,scuptitally","squeanings,raruting,prynching",,"boincole,chaspection,enrogiciously",,,"veysurition,erpechitades,trambings",,"scuptitally,urreocatry,urerrivuration",Yes,English,Native,Yes,No,Female,32
R_6GebYHc4aXLFJTv,100,271,TRUE,EN,,"croapings,thellering,erteycole",,"squeanings,thuckeding,incarpritation",,,"erpechitades,rehotes,diturably","ipanelle,seasslins,erdellation","pragingness,crilollering,fluckles",,"scalilla,caeduseousness,lusidour",,"fereniration,alphociration,lusidour","bambeagna,ancechuttos,tygranate",,,,,"lusidour,selorine,seasslins","ancechuttos,grumbered,nusprils","rehotes,menaprigication,thrurring","pylisation,canmiobraine,thuckeding",,,"forbicing,repufling,scuptitally",,"prebicing,trambings,femiture",,"trilching,dispights,menniated",,,"encrocing,prynching,urpharities","dispights,urpharities,repufling",,"enrogiciously,urreocatry,liechersedding",,,,"bambeagna,squeasts,enrogiciously","conscrastions,zimbazza,saglidity",,"veysurition,bambeagna,trambings","femiture,menniated,snially",,Yes,english,Native,Yes,No,Female,30
R_7fdtybolfZ0pnv6,100,238,TRUE,EN,"crilollering,whebbling,squeping","thellering,ropsta,figelled",,,,"ascodiments,bambeagna,alphociration",,"ipanelle,citocoli,seasslins","sweadles,pragingness,cazzagra","dabbedness,shomples,margrel",,,"caeduseousness,fereniration,alphociration",,"menaprigication,canmiobraine,briagra",,"susteries,acchots,urpharities","aspintades,margrel,citocoli",,,,,"ardudellis,selorine,myrticates","corsenations,margrel,figelled",,"fluckles,sweadles,sauging",,"crilders,refomped,squeasts",,"rechetsel,wrartering,zimbazza",,"prynching,urpharities,femiture",,,"bicrinations,enrogiciously,liechersedding","risitating,conscrastions,phongishments",,,"bambeagna,frumbered,chaspection","conscrastions,saglidity,urerrivuration",,"veysurition,bambeagna,trambings",,"refomped,flompled,shoquets",Yes,English ,Native,No,No,Female,34
R_1nUaVoxhaLHD0hL,100,226,TRUE,EN,,,"diturably,hularing,thrurring","squeanings,igmanilating,incarpritation","susteries,fleceils,brolorous",,,"seasslins,erdellation,incarpritation","pragingness,crilollering,thuckeding",,"corsenations,scalilla,caeduseousness",,"caeduseousness,fereniration,alphociration","grumbered,igmanilating,urpharities",,,"tygranate,myrticates,acchots",,"bambeagna,selorine,seasslins",,"rehotes,scayons,menaprigication",,,"corsenations,fluckles,incarpritation",,"fluckles,quiprigraphy,sauging",,"crilders,refomped,erpechitades",,,"shoquets,tyvuniated,fifuffies","encrocing,urpharities,femiture",,,"bicrinations,urreocatry,menniated","diruditions,scuptitally,phongishments",,"erpechitades,phongishments,bicrinations","boincole,squeasts,frumbered",,,"saglidity,fifuffies,trambings","femiture,chrotutation,menniated",,Yes,English,Native,Yes,No,Female,35
R_5Emoucs4p1Ob8RM,100,467,TRUE,EN,"corsenations,ancechuttos,scalilla",,,"squeanings,igmanilating,nusprils","susteries,fleceils,thrurring",,,"seasslins,thuckeding,incarpritation",,"dabbedness,aspintades,whebbling",,"susteries,fifuffies,operrhaging","caeduseousness,fereniration,alphociration",,"frumbered,ipanelle,squeanings",,"myrticates,susteries,corsenations",,"lusidour,selorine,fifuffies",,"rehotes,scayons,brolorous","figels,pylisation,squayophrenism",,,"forbicing,crettoes,phongishments",,,"crilders,refomped,erpechitades","sweadles,quiprigraphy,trilching",,"shoquets,concinging,fifuffies",,,"zimbazza,covigating,snially","fifuffies,urreocatry,liechersedding",,,"erpechitades,phongishments,concinging",,"saglidity,risitating,obsightness","tyvuniated,sweadles,risitating",,"femiture,snially,enrogiciously",,Yes,english,Native,No,No,Female,28
R_5ze6lVBCR2WwHy9,100,411,TRUE,EN,"crilollering,squeping,scalilla",,"diturably,thrurring,briagra",,"susteries,ancechuttos,frumbered","bambeagna,figels,flicetock",,,"sweadles,crilollering,thuckeding","dabbedness,shomples,aspintades",,,,"grumbered,igmanilating,bambeagna","menaprigication,ipanelle,briagra",,"tygranate,susteries,urpharities",,,"brolorous,ancechuttos,erteycole",,"diadegons,squayophrenism,erteycole","acchots,fereniration,myrticates",,"crettoes,repufling,scuptitally",,,"crilders,squeasts,erpechitades",,,"shoquets,concinging,urerrivuration","encrocing,repufling,diruditions",,"chaspection,erpechitades,covigating","enrogiciously,urreocatry,liechersedding",,"fluckles,prynching,sauging","erpechitades,bicrinations,ataulting",,,"tyvuniated,fereniration,risitating",,,"urreocatry,urerrivuration,flompled",Yes,English,Native,Yes,No,Male,34
R_1Va2zOU5RHeEo3u,100,384,TRUE,EN,,,"hularing,thrurring,susteries","squeanings,igmanilating,cazzagra","ancechuttos,brolorous,frumbered","myrticates,figels,alphociration",,,,"dabbedness,aspintades,whebbling",,"gormidion,operrhaging,grumbered","caeduseousness,fereniration,alphociration",,,"incarpritation,fifuffies,corsenations",,"aspintades,tescourine,citocoli",,"crilollering,grumbered,nusprils",,"figels,pylisation,erteycole","alphociration,fereniration,myrticates",,,,"liechersedding,trambings,femiture","refomped,squeasts,spaightness",,"rechetsel,wrartering,sauging","cacqueting,shoquets,concinging",,,"recightlectly,erpechitades,covigating","bicrinations,urreocatry,menniated",,,"phongishments,concinging,ataulting",,"snially,conscrastions,risitating","fereniration,risitating,concinging",,"femiture,chrotutation,pragingness",,Yes,Spanish and English,Native,Yes,No,Female,30
R_7OZQqh4j9iI7w96,100,1173,TRUE,EN,"crilollering,corsenations,scalilla",,,"squeanings,thuckeding,incarpritation",,"ascodiments,bambeagna,myrticates","marreccone,aspintades,selorine",,,"dabbedness,briagra,shomples","fleceils,corsenations,caeduseousness",,,"igmanilating,bambeagna,tygranate","menaprigication,canmiobraine,briagra",,"squeanings,acchots,corsenations",,"selorine,operrhaging,seasslins",,"rehotes,scayons,menaprigication","diadegons,pylisation,squayophrenism",,,"forbicing,phongishments,repufling",,,"crilders,refomped,spaightness","quiprigraphy,trilching,grumbered",,"shoquets,liechersedding,tyvuniated",,"spaightness,dispights,bambeagna","recightlectly,covigating,snially",,,,,"chaspection,fereniration,enrogiciously","snially,conscrastions,urerrivuration",,"fepupirition,fifuffies,trambings",,"scuptitally,flompled,shoquets",Yes,English,Native,Yes,No,Female,33
